Name,Address,Website,Phone Number,Image URL
The Savoy,"Strand, Westminster, London, WC2R 0EZ",thesavoylondon.com,020 7836 4343 ,"https://c.yell.com/t_bigRect,f_auto/e8fe8eaa-a485-4dbb-9eae-88d9bf591d6e_image_jpeg.jpg"
Radisson Blue Edwardian Leicester Square,"3-6 St. Martins St, London, WC2H 7HL",radissonedwardian.com,020 7930 8641 ,"https://c.yell.com/t_bigSquare,f_auto/ffd59d96-02d7-4752-94a9-85406282335d_image_jpeg.jpg"
Amhurst Hotel,"45 Amhurst Park, London, N16 5DL",amhursthotel.co.uk,020 3597 3113 ,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
Amhurst Hotel,"45 Amhurst Park, London, N16 5DL",amhursthotel.co.uk,020 7101 2135 ,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
Citadines Apart'hotel Trafalgar,"18-21, Northumberland Avenue, London, WC2N 5EA",,0845 4566399 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Grand at Trafalgar Square,"8 Northumberland Avenue, London, WC2N 5BY",,0845 0805104 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
"The Corinthia Hotel Ltd,","10 Northumberland Avenue, London, WC2N 5AE",corinthia.com,0843 8161328 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Club Quarters,"8 Northumberland Avenue, London, WC2N 5BY",clubquarters.com,020 7451 5600 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Nadler,"51 Bedford Street, London, WC2R 0PZ",nadlerhotels.com,020 3146 1790 ,"https://c.yell.com/t_bigSquare,f_auto/67987973-f6ec-4b5b-b92d-71a1216ea530_image_jpeg.jpg"
Haymarket Hotel,"1 Suffolk Place, London, SW1Y 4HX",firmdale.com,020 7470 4000 ,"https://c.yell.com/t_bigSquare,f_auto/20dce6a7-c9aa-4d11-85bd-16925b6bf47d_image_jpeg.jpg"
The Londoner Hotel,"38 Leicester Square, West End, London, WC2H 7DX",thelondoner.com?utm_source=Yext&utm_medium=Organic&utm_campaign=Londoner,020 7451 0102 ,"https://c.yell.com/t_bigRect,f_auto/3eff60e3-33f4-4eb1-bbd5-f4b08361f532_image_jpeg.jpg"
Assembly London,"33 Charing Cross Road, London, WC2H 0AW",,020 3953 4300 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Grand at Trafalgar Square,"8 Trafalgar Square, London, WC2N 5BY",clubquartershotels.com,020 7451 5555 ,"https://c.yell.com/t_bigSquare,f_auto/713ba855-2bf8-4948-8108-7ff8b48e81ef_image_jpeg.jpg"
The Nadler,"51 Bedford Street, Charing Cross, LONDON, WC2R 0PZ",nadlerhotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Resident,"51 Bedford St, London, WC2R 0PZ",residenthotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Z Hotels,"31-33 Bedford St, London, WC2E 9ED",,020 3837 6303 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Raffles,"57 Whitehall, London, SW1A 2BX",all.accor.com,0871 663 0624 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Assembly Hotel,"27-31 Charing Cross Rd, London, WC2H 0LS",assemblyhotel.com,020 3953 4251 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Victory House Hotel,"14 Leicester Place, London, WC2H 7BZ",victoryhouselondon.com,020 3909 4100 ,"https://c.yell.com/t_bigSquare,f_auto/cf73df89-531c-4056-b6df-fcac8bc5b831_image_jpeg.jpg"
Hotel Indigo,"1 Leicester Square, Westminster, London, WC2H 7NA",ihg.com,020 3953 4200 ,"https://c.yell.com/t_bigRect,f_auto/9f0571dd-473b-4b90-974a-3d56a26203d2_image_png.png"
Z Hotels,"Grove House, 2, Orange St, London, WC2H 7DF",thezhotels.com,020 3551 3720 ,"https://c.yell.com/t_bigSquare,f_auto/1c48f825-3fa0-40c3-a4db-07e3bdbc1c07_image_jpeg.jpg"
The Royal Horse Guard Hotel,"2 Whitehall Place, Westminster, London, W1A 2HD",theroyalhorseguards.com,020 7839 3344 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
